config,recall@1,recall@3,recall@5,recall@10,coverage@5,mrr,ndcg@5,abstention,false_abst,balanced_abstention
baseline (no routing),0.5417,0.7417,0.875,0.9417,0.7931,0.6645,0.7263,0.7,0.1333,0.6067
+ entities only,0.55,0.775,0.875,0.9417,0.7972,0.6824,0.7543,0.7,0.1333,0.6067
+ meta only,0.5167,0.7333,0.8583,0.95,0.7806,0.6497,0.7071,0.7,0.1333,0.6067
+ intent only,0.525,0.7833,0.8583,0.9333,0.7847,0.6651,0.7358,0.7,0.1333,0.6067
+ all routing,0.5083,0.7917,0.8667,0.925,0.7889,0.6624,0.7542,0.7,0.1333,0.6067
