chunking,size,n_chunks,recall@1,recall@3,recall@5,coverage@5,mrr,ndcg@5
section,200,200,0.5417,0.7417,0.875,0.7931,0.6645,0.7263
section,256,185,0.5417,0.7417,0.85,0.7826,0.662,0.706
section,512,175,0.5417,0.775,0.85,0.7826,0.6663,0.6958
section,128,244,0.525,0.725,0.8083,0.7451,0.6437,0.7259
fixed,128,213,0.4667,0.6917,0.7583,0.6889,0.6004,0.7001
fixed,200,139,0.4583,0.625,0.6667,0.5861,0.5531,0.5816
fixed,256,112,0.4,0.6,0.6583,0.5764,0.5085,0.5322
fixed,512,66,0.325,0.4583,0.5333,0.4583,0.4181,0.4046
